,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
9,Vinicius Júnior,br BRA,FW,23-199,12.0,11,853.0,9.5,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,3.5,3.5,1.5,5.0,58.0,28.0,124.0,0.53,0.11,0.63,0.53,0.63,0.37,0.16,0.53,0.37,0.53,Matches,Real-Madrid,
10,Ferland Mendy,fr FRA,DF,28-233,11.0,10,768.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.5,10.0,40.0,53.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.01,0.05,Matches,Real-Madrid,
11,Fran Garcia,es ESP,DF,24-166,15.0,9,814.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.9,2.1,33.0,36.0,74.0,0.0,0.44,0.44,0.0,0.44,0.03,0.21,0.24,0.03,0.24,Matches,Real-Madrid,
12,Luka Modrić,hr CRO,MF,38-140,16.0,9,806.0,9.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,3.1,3.8,22.0,99.0,51.0,0.11,0.45,0.56,0.11,0.56,0.08,0.34,0.43,0.08,0.43,Matches,Real-Madrid,
13,Eduardo Camavinga,fr FRA,"MF,DF",21-078,14.0,9,758.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.4,0.7,27.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Real-Madrid,
14,Joselu,es ESP,FW,33-306,20.0,8,923.0,10.3,5.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,6.3,5.5,1.3,6.8,9.0,12.0,67.0,0.49,0.2,0.68,0.49,0.68,0.62,0.12,0.74,0.54,0.66,Matches,Real-Madrid,
15,Andriy Lunin,ua UKR,GK,24-350,8.0,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Madrid,
16,Nacho,es ESP,DF,34-009,13.0,6,634.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.3,0.3,0.1,0.4,5.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Real-Madrid,
17,Brahim Díaz,es ESP,"FW,MF",24-177,15.0,6,584.0,6.5,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.1,2.1,1.9,4.0,37.0,29.0,69.0,0.46,0.15,0.62,0.46,0.62,0.33,0.29,0.61,0.33,0.61,Matches,Real-Madrid,
18,Lucas Vázquez,es ESP,DF,32-210,15.0,4,488.0,5.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,0.3,1.7,2.0,13.0,24.0,63.0,0.18,0.37,0.55,0.18,0.55,0.08,0.31,0.39,0.06,0.37,Matches,Real-Madrid,
19,Éder Militão,br BRA,DF,26-009,1.0,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Madrid,
20,Dani Ceballos,es ESP,"MF,FW",27-173,10.0,0,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,7.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches,Real-Madrid,
21,Nicolás Paz,ar ARG,"MF,FW",19-141,4.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,Real-Madrid,
22,Gonzalo García,es ESP,"FW,MF",19-309,2.0,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,Real-Madrid,
23,Lucas Cañizares,es ESP,GK,21-262,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
24,Álvaro Carrillo,es ESP,DF,21-296,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
25,Fran González,es ESP,DF,25-167,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
26,Fran González,es ESP,GK,18-217,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
27,Arda Güler,tr TUR,MF,18-336,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
28,Mario de Luis,es ESP,GK,21-236,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
29,Mario Martín,es ESP,MF,19-328,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
30,Álvaro Odriozola,es ESP,DF,28-044,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
31,Diego Piñeiro,es ESP,GK,19-348,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
32,Edgar Pujol,es ESP,DF,19-173,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
33,Vinicius Tobias,br BRA,DF,19-338,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
34,Theo Zidane,fr FRA,MF,21-254,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Madrid,
35,Squad Total,,,28.0,20.0,220,1800.0,20.0,43.0,33.0,76.0,42.0,1.0,3.0,37.0,2.0,35.1,33.0,26.2,59.2,537.0,1094.0,1087.0,2.15,1.65,3.8,2.1,3.75,1.76,1.31,3.06,1.65,2.96,,Real-Madrid,
36,Opponent Total,,,27.6,20.0,220,1800.0,20.0,12.0,8.0,20.0,12.0,0.0,0.0,55.0,0.0,19.4,19.4,15.9,35.3,293.0,614.0,609.0,0.6,0.4,1.0,0.6,1.0,0.97,0.8,1.77,0.97,1.77,,Real-Madrid,
0,Álex Remiro,es ESP,GK,28-309,,20,1745.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,20.0
1,Igor Zubeldia,es ESP,DF,26-303,,19,1679.0,18.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.9,1.3,14.0,81.0,0.0,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07,Matches,Real-Sociedad,20.0
2,Martín Zubimendi,es ESP,MF,24-359,,18,1698.0,18.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,1.1,3.1,25.0,87.0,16.0,0.21,0.05,0.27,0.21,0.27,0.1,0.06,0.16,0.1,0.16,Matches,Real-Sociedad,20.0
3,Brais Méndez,es ESP,"MF,FW",27-020,,18,1547.0,17.2,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,1.7,1.7,2.0,3.7,30.0,68.0,85.0,0.17,0.17,0.35,0.17,0.35,0.1,0.12,0.21,0.1,0.21,Matches,Real-Sociedad,19.0
4,Robin Le Normand,es ESP,DF,27-077,,17,1496.0,16.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.6,0.6,0.1,0.7,17.0,59.0,0.0,0.06,0.0,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Matches,Real-Sociedad,18.0
5,Hamari Traoré,ml MLI,DF,32-000,,17,1474.0,16.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.1,1.3,30.0,89.0,43.0,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.08,0.01,0.08,Matches,Real-Sociedad,19.0
6,Takefusa Kubo,jp JPN,"FW,MF",22-237,,16,1413.0,15.7,6.0,3.0,9.0,6.0,0.0,0.0,1.0,0.0,2.6,2.6,3.7,6.3,88.0,47.0,136.0,0.38,0.19,0.57,0.38,0.57,0.17,0.23,0.4,0.17,0.4,Matches,Real-Sociedad,18.0
7,Mikel Merino,es ESP,MF,27-219,,15,1365.0,15.2,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,1.5,3.5,14.0,68.0,46.0,0.07,0.2,0.26,0.07,0.26,0.13,0.1,0.23,0.13,0.23,Matches,Real-Sociedad,18.0
8,Mikel Oyarzabal,es ESP,FW,26-281,,13,1263.0,14.0,8.0,1.0,9.0,6.0,2.0,2.0,2.0,0.0,7.6,6.0,1.0,7.1,16.0,22.0,69.0,0.57,0.07,0.64,0.43,0.5,0.54,0.07,0.62,0.43,0.5,Matches,Real-Sociedad,20.0
9,Ander Barrenetxea,es ESP,"FW,MF",22-031,,13,888.0,9.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,1.0,3.3,36.0,19.0,96.0,0.3,0.1,0.41,0.3,0.41,0.23,0.1,0.33,0.23,0.33,Matches,Real-Sociedad,16.0
10,Aihen Muñoz,es ESP,DF,26-164,,11,1127.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,2.0,2.2,24.0,39.0,23.0,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18,Matches,Real-Sociedad,21.0
11,Kieran Tierney,sct SCO,DF,26-236,,10,787.0,8.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,14.0,38.0,19.0,0.0,0.11,0.11,0.0,0.11,0.02,0.03,0.05,0.02,0.05,Matches,Real-Sociedad,11.0
12,Umar Sadiq,ng NGA,FW,26-359,,8,713.0,7.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.1,3.1,0.7,3.8,16.0,12.0,49.0,0.25,0.13,0.38,0.25,0.38,0.39,0.09,0.48,0.39,0.48,Matches,Real-Sociedad,18.0
13,Beñat Turrientes,es ESP,MF,21-361,,7,658.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.1,9.0,18.0,12.0,0.0,0.14,0.14,0.0,0.14,0.09,0.06,0.15,0.09,0.15,Matches,Real-Sociedad,13.0
14,Arsen Zakharyan,ru RUS,"MF,FW",20-246,,5,490.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,1.5,11.0,12.0,41.0,0.0,0.18,0.18,0.0,0.18,0.09,0.19,0.28,0.09,0.28,Matches,Real-Sociedad,14.0
15,Carlos Fernández,es ESP,FW,27-250,,5,408.0,4.5,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.5,0.7,0.5,1.3,5.0,4.0,13.0,0.44,0.22,0.66,0.22,0.44,0.33,0.12,0.45,0.16,0.28,Matches,Real-Sociedad,10.0
16,Aritz Elustondo,es ESP,DF,29-305,,4,492.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,4.0,16.0,2.0,0.0,0.18,0.18,0.0,0.18,0.03,0.07,0.1,0.03,0.1,Matches,Real-Sociedad,9.0
17,Jon Pacheco,es ESP,DF,23-019,,4,438.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Real-Sociedad,9.0
18,André Silva,pt POR,FW,28-082,,2,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Real-Sociedad,5.0
19,Álvaro Odriozola,es ESP,DF,28-044,,2,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Real-Sociedad,3.0
20,Urko González,es ESP,MF,22-313,,2,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
21,Mohamed Ali Cho,fr FRA,"FW,MF",20-008,,1,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,16.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.18,0.14,0.18,Matches,Real-Sociedad,11.0
22,Unai Marrero,es ESP,GK,22-110,,1,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
23,Olasagasti,es ESP,MF,23-164,,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,1.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.57,0.18,0.75,0.57,0.75,Matches,Real-Sociedad,6.0
24,Jon Magunacelaya,es ESP,"FW,MF",23-198,,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.7,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.22,0.38,0.6,0.22,0.6,Matches,Real-Sociedad,3.0
25,Jon Aramburu,ve VEN,DF,21-188,,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,1.0
26,Alex Sola,es ESP,"DF,MF",24-232,,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,2.0
27,Alberto Dadie,es ESP,MF,21-191,,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Real-Sociedad,1.0
28,Gaizka Ayesa,es ESP,GK,22-300,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
29,Sheraldo Becker,sr SUR,"FW,MF",28-352,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
30,Bryan Fiabema,no NOR,FW,20-345,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
31,Aitor Fraga,es ESP,GK,20-324,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
32,Jon Karrikaburu,es ESP,FW,21-130,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
33,Pablo Marín,es ESP,MF,20-208,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
34,Jon Martin,es ESP,DF,18-026,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
35,Roberto Navarro,es ESP,MF,21-290,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
36,Diego Rico,es ESP,DF,30-338,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
37,Iñaki Rupérez,es ESP,DF,21-020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Real-Sociedad,0.0
38,Squad Total,,,26.3,,231,1890.0,21.0,30.0,23.0,53.0,27.0,3.0,3.0,57.0,1.0,26.8,24.4,18.4,42.8,380.0,702.0,694.0,1.43,1.1,2.52,1.29,2.38,1.28,0.88,2.15,1.16,2.04,,Real-Sociedad,21.0
39,Opponent Total,,,28.0,,231,1890.0,21.0,20.0,12.0,32.0,17.0,3.0,3.0,57.0,3.0,24.2,22.0,15.0,37.1,235.0,562.0,558.0,0.95,0.57,1.52,0.81,1.38,1.15,0.72,1.87,1.05,1.76,,Real-Sociedad,21.0
0,Lucas Ocampos,ar ARG,FW,29-200,20.0,19,1623.0,18.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,3.1,2.4,2.2,4.6,75.0,67.0,191.0,0.17,0.06,0.22,0.11,0.17,0.17,0.12,0.3,0.13,0.25,Matches,Sevilla,
1,Ivan Rakitić,hr CRO,MF,35-323,18.0,16,1425.0,15.8,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.3,1.3,3.0,4.3,24.0,127.0,52.0,0.13,0.06,0.19,0.13,0.19,0.08,0.19,0.27,0.08,0.27,Matches,Sevilla,
2,Nemanja Gudelj,rs SRB,DF,32-072,16.0,16,1376.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,0.3,1.1,20.0,63.0,4.0,0.07,0.0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches,Sevilla,
3,Marko Dmitrović,rs SRB,GK,32-003,13.0,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
4,Djibril Sow,ch SUI,MF,26-355,17.0,13,1084.0,12.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,0.7,2.2,20.0,63.0,31.0,0.08,0.08,0.17,0.08,0.17,0.12,0.06,0.18,0.12,0.18,Matches,Sevilla,
5,Adrià Pedrosa,es ESP,DF,25-259,19.0,12,1293.0,14.4,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.8,2.3,29.0,49.0,86.0,0.07,0.28,0.35,0.07,0.35,0.04,0.12,0.16,0.04,0.16,Matches,Sevilla,
6,Youssef En-Nesyri,ma MAR,FW,26-240,17.0,12,1193.0,13.3,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,4.4,4.4,0.2,4.5,4.0,3.0,28.0,0.38,0.08,0.45,0.38,0.45,0.33,0.01,0.34,0.33,0.34,Matches,Sevilla,
7,Sergio Ramos,es ESP,DF,37-303,12.0,12,1077.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.9,0.9,0.0,0.9,5.0,46.0,2.0,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.08,0.08,0.08,Matches,Sevilla,
8,Suso,es ESP,"MF,FW",30-069,17.0,12,1002.0,11.1,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,3.0,4.2,33.0,83.0,87.0,0.09,0.27,0.36,0.09,0.36,0.11,0.27,0.38,0.11,0.38,Matches,Sevilla,
9,Loïc Bade,fr FRA,DF,23-291,13.0,12,995.0,11.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7,0.7,0.2,0.8,5.0,40.0,0.0,0.0,0.09,0.09,0.0,0.09,0.06,0.02,0.08,0.06,0.08,Matches,Sevilla,
10,Jesús Navas,es ESP,DF,38-067,14.0,11,964.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.4,0.5,26.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Sevilla,
11,Juanlu Sánchez,es ESP,DF,20-165,14.0,10,897.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.0,1.4,37.0,42.0,91.0,0.0,0.2,0.2,0.0,0.2,0.04,0.1,0.14,0.04,0.14,Matches,Sevilla,
12,Boubakary Soumaré,fr FRA,MF,24-334,12.0,10,847.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.1,7.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches,Sevilla,
13,Óliver Torres,es ESP,MF,29-078,16.0,9,849.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.0,23.0,57.0,70.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,Sevilla,
14,Dodi Lukebakio,be BEL,FW,26-125,12.0,9,739.0,8.2,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.6,2.6,0.4,3.0,30.0,23.0,85.0,0.24,0.12,0.37,0.24,0.37,0.32,0.05,0.37,0.32,0.37,Matches,Sevilla,
15,Ørjan Nyland,no NOR,GK,33-139,7.0,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
16,Kike Salas,es ESP,DF,21-279,10.0,7,551.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.3,0.6,5.0,29.0,8.0,0.33,0.0,0.33,0.33,0.33,0.05,0.04,0.09,0.05,0.09,Matches,Sevilla,
17,Marcos Acuña,ar ARG,DF,32-091,8.0,7,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,13.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Sevilla,
18,Fernando,br BRA,MF,36-186,8.0,5,459.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,5.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Sevilla,
19,Érik Lamela,ar ARG,"FW,MF",31-329,8.0,4,368.0,4.1,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,0.9,1.8,6.0,12.0,24.0,0.49,0.0,0.49,0.49,0.49,0.22,0.21,0.43,0.22,0.43,Matches,Sevilla,
20,Joan Jordán,es ESP,MF,29-205,4.0,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Sevilla,
21,Rafa Mir,es ESP,"FW,MF",26-223,14.0,3,371.0,4.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.3,1.7,3.0,2.0,15.0,0.49,0.0,0.49,0.49,0.49,0.34,0.07,0.41,0.34,0.41,Matches,Sevilla,
22,Mariano,do DOM,FW,30-179,6.0,2,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.1,1.0,3.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.38,0.03,0.41,0.38,0.41,Matches,Sevilla,
23,Tanguy Nianzou,fr FRA,DF,21-234,4.0,2,205.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Sevilla,
24,Isaac Bernal,es ESP,FW,23-254,2.0,2,115.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.78,0.0,0.78,0.78,0.78,,,,,,Matches,Sevilla,
25,Marcão,br BRA,DF,27-236,4.0,1,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
26,Yassine Bounou,ma MAR,GK,32-297,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
27,Adnan Januzaj,be BEL,"FW,MF",28-356,7.0,0,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,1.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,Matches,Sevilla,
28,Hannibal Mejbri,tn TUN,MF,21-006,1.0,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,Sevilla,
29,Manuel Sebastián,es ESP,MF,19-184,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,Sevilla,
30,Jesús Corona,mx MEX,"MF,DF",31-021,2.0,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
31,Lucien Agoume,fr FRA,MF,21-352,1.0,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
32,Federico Gattoni,ar ARG,"DF,FW",24-345,2.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,
33,Matías Árbol,es ESP,GK,21-137,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,
34,Miguel Capitas,es ESP,MF,22-327,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,
